N.º de venda,Data da venda,Status,Descrição do status,Pacote de diversos produtos,Unidades,Receita por produtos (BRL),Receita por envio (BRL),Tarifa de venda e impostos,Tarifas de envio,Cancelamentos e reembolsos (BRL),Total (BRL),Venda por publicidade,SKU,# de anúncio,Título do anúncio,Variação,Preço unitário de venda do anúncio (BRL),Tipo de anúncio,ID_Cliente,Cidade,Estado,CEP,País,Forma de entrega,Data a caminho completa,Data de entrega completa,Reclamação aberta,Reclamação encerrada,Em mediação
2000004826452531,2023-09-13 14:14:00,Entregue,Chegou em 19 de setembro,Sim,1.0,37.71,44.5,-10.53,-44.5,0.0,27.18,Não,PEANUT-CHOCOTINE-600G,MLB3442253069,Suplemento Dr Peanut Pasta De Amendoim Sabor Chocotine Em Pote De 600g,Sabor : Sem Sabor,37.71,Clássico,W6AXI1,Corumbá de Goiás,Goiás,72960000,Brasil,Correios,2023-09-14 11:30:00,2023-09-19 14:42:00,Não,0.0,Não
2000004647326631,2023-07-19 17:38:00,Entregue,Chegou em 25 de julho,Sim,1.0,149.9,9.06,-17.99,-31.51,0.0,109.46,Não,BVG-CHOCOLATE-1KG,MLB3335309815,Proteína Vegana Blend Vegan Growth 1kg,Sabor : Chocolate,149.9,Clássico,RGYDWV,Florianópolis,Santa Catarina,88037001,Brasil,Correios,2023-07-20 11:26:00,2023-07-25 13:42:00,Não,0.0,Não
2000006002135954,2023-07-11 09:00:00,Entregue,Chegou em 18 de julho,Não,1.0,119.63,0.0,-14.36,-19.45,0.0,85.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,LL14DW,Patrocínio,Minas Gerais,38740174,Brasil,Correios,2023-07-11 12:44:00,2023-07-18 16:19:00,Não,0.0,Não
2000004614655321,2023-07-09 19:07:00,Entregue,Chegou em 18 de julho,Sim,1.0,119.63,0.0,-14.36,-19.45,0.0,85.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,78G8LL,Três Lagoas,Mato Grosso do Sul,79645060,Brasil,Correios,2023-07-10 11:25:00,2023-07-18 09:00:00,Não,0.0,Não
2000004611154553,2023-07-08 11:01:00,Entregue,Chegou em 21 de julho,Sim,1.0,119.63,45.38,-14.36,-64.83,0.0,85.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,E8CDQC,Aracati,Ceará,62800000,Brasil,Correios,2023-07-10 11:25:00,2023-07-21 11:49:00,Não,0.0,Não
2000005994833814,2023-07-06 18:17:00,Entregue,Chegou em 10 de julho,Não,1.0,119.63,0.0,-14.36,-19.45,0.0,85.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,PPCU6R,Limeira,São Paulo,13484605,Brasil,Correios,2023-07-07 11:42:00,2023-07-10 17:23:00,Não,0.0,Não
2000005975059874,2023-07-04 09:19:00,Cancelada pelo comprador,Cancelou porque se arrependeu da compra.,Não,1.0,119.63,0.0,-14.36,-19.45,-85.82,0.0,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,7SSL1X,Itaiópolis,Santa Catarina,89340000,Brasil,Correios,2023-07-04 09:19:00,2023-07-04 09:19:00,Não,0.0,Não
2000005969341642,2023-07-03 14:22:00,Entregue,Chegou em 7 de julho,Não,1.0,119.63,0.0,-14.36,-19.45,0.0,85.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,9ZYK9T,Bauru,São Paulo,17053020,Brasil,Correios,2023-07-04 12:48:00,2023-07-07 14:48:00,Não,0.0,Não
2000005962933212,2023-07-02 14:57:00,Entregue,Chegou em 10 de julho,Não,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,89E1LC,Caraguatatuba,São Paulo,11662310,Brasil,Correios,2023-07-03 11:31:00,2023-07-10 10:02:00,Não,0.0,Não
2000004591765469,2023-07-02 13:49:00,Cancelada pelo comprador,Cancelou porque se arrependeu da compra.,Sim,1.0,119.63,0.0,-14.36,-18.45,-86.82,0.0,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,0JPVAS,Barra Mansa,Rio de Janeiro,27320410,Brasil,Correios,2023-07-02 13:49:00,2023-07-02 13:49:00,Não,0.0,Não
2000005959163502,2023-07-01 18:06:00,Entregue,Chegou em 14 de julho,Não,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,5931XE,Viana,Espírito Santo,29130211,Brasil,Correios,2023-07-03 11:31:00,2023-07-14 14:43:00,Não,0.0,Não
2000004589448563,2023-07-01 12:27:00,Entregue,Chegou em 6 de julho,Sim,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Não,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,K16MDL,Colombo,Paraná,83401030,Brasil,Correios,2023-07-03 11:31:00,2023-07-06 11:13:00,Não,0.0,Não
2000005948848164,2023-06-29 21:25:00,Entregue,Chegou em 10 de julho,Não,1.0,119.63,0.0,-14.36,-18.45,0.0,86.82,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,119.63,Clássico,FQZ79M,Brasília,Distrito Federal,71680365,Brasil,Correios,2023-06-30 11:32:00,2023-07-10 15:38:00,Não,0.0,Não
